"NoShow","sunday","monday","saturday","time_booked","service_CAL","service_CALC","service_CAS","service_CBAL","service_CCAMO","service_CCO","service_CDPB","service_CFC","service_CHLFH","service_CHLFHC","service_CHLHH","service_CHLHHC","service_CHLPHC","service_CHLPL","service_CMT","service_CON","service_CT","service_FRI","service_MISC","service_SBD","service_SBD5","service_SDUD","service_SHCC","service_SHCW","service_SMARTBOND","service_SMO","staff_HOUSE","staff_KELLY","Canceled_By_BECKY","Canceled_By_JJ","Canceled_By_JOANNE","Canceled_By_KELLY","Canceled_By_SINEAD","quantity_1","quantity_2","quantity_5","quantity_6","quantity_7","amount","avg_receipt_4","avg_receipt_5","avg_quantity_5","total_cancel12","hclust3_1","hclust4_4","Mclust3_1","Mclust3_2","Mclust3_3","Mclust4_1","Mclust4_2","Mclust4_3","Mclust4_4"
0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.39444915467244,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.15329159449778,0,0,0,2,1,0,1,0,0,1,0,0,0
0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15329159449778,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.63472898822964,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.02535169073515,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.71357206670431,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.70953020131233,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.02535169073515,0,0,0,1,0,0,0,1,0,0,1,0,0
0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66720557690754,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.26267987704132,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79579054559674,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,0,0
0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.63472898822964,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,1,0,0
0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.58351893845611,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.79579054559674,1,0,0,1,1,0,1,0,0,1,0,0,0
0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.51085950651685,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3.49650756146648,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.71357206670431,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,1,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,1,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.93182563272433,0,0,0,3,0,0,0,1,0,0,0,1,0
0,0,0,1,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.26267987704132,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.26267987704132,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,1,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.11087386417331,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49306144334055,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.58351893845611,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,750,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.93182563272433,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.39444915467244,0,0,0,1,0,1,0,1,0,0,1,0,0
0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01727983681492,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.97029191355212,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.58351893845611,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.02535169073515,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25227342804663,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.93182563272433,1,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,780,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66343909411207,0,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.15750236990581,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.56434819146784,0,0,0,2,0,0,1,0,0,1,0,0,0
0,0,0,0,890,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.02535169073515,1,0,0,2,0,1,0,0,1,0,0,0,1
0,0,0,1,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.8286413964891,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.43398720448515,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.93182563272433,0,0,0,1,1,0,0,1,0,0,1,0,0
0,0,0,1,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,1,540,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63472898822964,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.02535169073515,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.39444915467244,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.39444915467244,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.71357206670431,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.11087386417331,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4.66343909411207,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,640,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.08140436498446,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.70711026474888,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.43398720448515,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8958228418847,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93182563272433,0,0,0,3,0,0,0,1,0,0,0,1,0
0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.02535169073515,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,870,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.79579054559674,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46001095554602,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,860,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12396397940326,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.63472898822964,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.43398720448515,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39816270151775,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4.4188406077966,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.49650756146648,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,1,0,0,2,1,0,0,1,0,0,0,1,0
0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.02535169073515,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.22332438750661,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,870,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.70953020131233,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0
0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,630,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.54732357738797,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.11087386417331,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.71357206670431,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,1,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.83628190695148,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.4188406077966,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.71357206670431,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3.58351893845611,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0
0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39816270151775,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23644196282995,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.58351893845611,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,1,790,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49306144334055,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,1,540,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05273647011489,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.11087386417331,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.04452243772342,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.51085950651685,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,780,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.11087386417331,1,0,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.63835466933375,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.08140436498446,1,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.51085950651685,0,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.26267987704132,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.48479693349065,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.04452243772342,0,0,0,0,0,0,0,1,0,0,0,1,0
